*******************************************************************
Job name: 
Argument: Server Batch Job
Start Time: 2016-05-30 16:53:15Z
Login to SAP Success, The following is the login information:
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:24', N'953506', N'0', N'24', N'manager', N'14011B3H/002003', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [14011B3H/002004     ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'14011B3H/002004', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [14011B3H/0038/005   ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'14011B3H/0038/005', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [14011B3H/0046/006   ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'14011B3H/0046/006', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [19040/0021/001      ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'19040/0021/001', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [19040/0033/002      ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'19040/0033/002', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [06006B3H/POT01Z00001]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'06006B3H/POT01Z00001', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [20056B3H/POT01Z00013]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'20056B3H/POT01Z00013', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [06006B3H/TCP01Z00002]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'06006B3H/TCP01Z00002', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#023892/CQ#023893 ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#023892/CQ#023893', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#024109/CQ#024110 ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#024109/CQ#024110', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#024212/CQ#024213 ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#024212/CQ#024213', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#024362/CQ#024363 ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#024362/CQ#024363', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [TRF TO UNISTRESS    ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'TRF TO UNISTRESS', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [TRF TO UNISTRESS    ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'TRF TO UNISTRESS', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [06006B3H/SC054017   ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'06006B3H/SC054017', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#043898-906       ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#043898-906', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#043946-49        ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#043946-49', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#044031-35        ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#044031-35', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#044058-60,61,63  ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#044058-60,61,63', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#044071-75        ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#044071-75', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#044076-81        ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#044076-81', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#260785-6,9,95-6  ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#260785-6,9,95-6', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#260802-6         ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#260802-6', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#353430-1         ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#353430-1', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#711166-69        ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#711166-69', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#711262-4         ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#711262-4', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#711306-9         ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#711306-9', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [CQ#711340-2         ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'CQ#711340-2', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [REV 06006B3H/001    ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'REV 06006B3H/001', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [REV 06006B3H/002    ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:25', N'953506', N'0', N'24', N'manager', N'REV 06006B3H/002', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [REV 06006B3H/003    ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:26', N'953506', N'0', N'24', N'manager', N'REV 06006B3H/003', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [REV 06006B3H/004    ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:26', N'953506', N'0', N'24', N'manager', N'REV 06006B3H/004', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [REV 06006B3H/005    ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
 Insert Into [dbo].[CPSFSP] ( CreateTime, JobIndex, DocEntry, ObjType, CreateUID, ReasonCode, Status ) Values ( N'20160530 16:52:26', N'953506', N'0', N'24', N'manager', N'REV 06006B3H/005', N'P' ) 
******************************************
Error Description:
System.Runtime.InteropServices.COMException (0xFFFFF830): 1). [Microsoft][SQL Native Client][SQL Server]String or binary data would be truncated.
2). [Microsoft][SQL Native Client][SQL Server]The statement has been terminated.

   at SAPbobsCOM.IRecordset.DoQuery(String QueryStr)
   at CPS.SQL.Interface.RecordSet.Process(Status pStatus)
******************************************
----------------------------------------
Process Record: [REV 06006B3H/007    ]
Exception Detail: 

System Operation - Process Exception
System Check Point: PRS0001
System Error code: 
System Error message: 

Detail Description: --------------------

[SQLs Server] Unable to Process query (Insert Query)
******************************************
